iteration,original_objective,formulation_objective,raw_constraint_violation,undercured_voxels,overcured_voxels
74,-1326.3683143704231,73008.87378709132,6.725275413500659,316,88
75,-190.97547254932942,-190.97547254932942,0.0,996,0
76,-461.2980860295909,-461.2980860295909,0.0,948,0
77,-731.6206995098522,-731.1218796122181,0.004466855259057101,796,4
78,-944.3167694613188,-944.3167694613188,0.0,580,0
79,-1214.6393829415804,-1144.2091300615232,0.05307739740418971,296,4
80,-1119.2364374736353,-1073.1695967915703,0.07307208546216815,416,16
81,-645.1126653613101,-645.1126653613101,0.0,904,0
82,-915.7091423399107,-915.7091423399107,0.0,592,0
83,-1186.0317558201725,31822.794367597526,3.6002774858772515,316,48
84,-630.9309661642249,-630.9309661642249,0.0,800,0
85,-901.2535796444865,-815.3605532612736,0.058615024143375716,672,4
86,-1095.1594880616317,-1095.1594880616317,0.0,496,0
87,-1365.4821015418927,7824.590080224609,1.369061354113905,268,24
88,-1067.0680359073306,-1067.0680359073306,0.0,532,0
89,-1329.2844321576588,39372.113591010195,3.760124180088703,428,40
90,-653.8879143017504,-653.8879143017504,0.0,752,0
91,-924.2105277820122,-924.2105277820122,0.0,620,0
92,-1194.5331412622731,-1194.5331412622731,0.0,452,0
93,-1464.8557547425346,21068.634887422584,3.0346448752476616,280,56
94,-406.65516175770637,-406.65516175770637,0.0,852,0
95,-678.9398168045986,-318.53545191177744,0.12006737523454425,752,4
96,-567.7580250446305,-567.7580250446305,0.0,896,0
97,-840.0426800915228,-411.84781348343927,0.1308732007109299,740,4
98,-1046.4469466662758,-1046.4469466662758,0.0,472,0
99,-1318.731601713168,30461.89406664869,2.9050909327898737,208,48
100,-453.9512409322655,-453.9512409322655,0.0,864,0
